,Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,ODI_NO
0,12,12,22,54.54,1,0, Sri Lanka,Dambulla,18 Aug 2008,ODI # 2742
1,37,37,67,55.22,6,0, Sri Lanka,Dambulla,20 Aug 2008,ODI # 2745
2,25,25,38,65.78,4,0, Sri Lanka,Colombo (RPS),24 Aug 2008,ODI # 2750
3,54,54,66,81.81,7,0, Sri Lanka,Colombo (RPS),27 Aug 2008,ODI # 2755
4,31,31,46,67.39,3,1, Sri Lanka,Colombo (RPS),29 Aug 2008,ODI # 2756
5,2*,2,2,100.0,0,0, Sri Lanka,Colombo (RPS),14 Sep 2009,ODI # 2889
6,16,16,24,66.66,1,0, Pakistan,Centurion,26 Sep 2009,ODI # 2898
7,TDNB,0,0,0.0,-,-, Australia,Centurion,28 Sep 2009,ODI # 2901
8,79*,79,104,75.96,9,2, West Indies,Johannesburg,30 Sep 2009,ODI # 2904
9,30,30,41,73.17,3,0, Australia,Vadodara,25 Oct 2009,ODI # 2913
10,10,10,16,62.5,1,0, Australia,Mohali,2 Nov 2009,ODI # 2919
11,27,27,19,142.1,4,0, Sri Lanka,Rajkot,15 Dec 2009,ODI # 2932
12,54,54,65,83.07,7,0, Sri Lanka,Nagpur,18 Dec 2009,ODI # 2933
13,107,107,114,93.85,11,1, Sri Lanka,Eden Gardens,24 Dec 2009,ODI # 2935
14,TDNB,0,0,0.0,-,-, Sri Lanka,Delhi,27 Dec 2009,ODI # 2936
15,9,9,12,75.0,1,0, Sri Lanka,Mirpur,5 Jan 2010,ODI # 2938
16,91,91,102,89.21,7,0, Bangladesh,Mirpur,7 Jan 2010,ODI # 2939
17,71*,71,68,104.41,9,0, Sri Lanka,Mirpur,10 Jan 2010,ODI # 2941
18,102*,102,95,107.36,11,0, Bangladesh,Mirpur,11 Jan 2010,ODI # 2942
19,2,2,8,25.0,0,0, Sri Lanka,Mirpur,13 Jan 2010,ODI # 2943
20,31,31,46,67.39,1,0, South Africa,Jaipur,21 Feb 2010,ODI # 2961
21,DNB,0,0,0.0,-,-, South Africa,Gwalior,24 Feb 2010,ODI # 2962
22,57,57,71,80.28,4,1, South Africa,Ahmedabad,27 Feb 2010,ODI # 2963
23,0,0,0,0.0,0,0, Zimbabwe,Bulawayo,28 May 2010,ODI # 2981
24,82,82,92,89.13,4,0, Sri Lanka,Bulawayo,30 May 2010,ODI # 2983
25,18,18,29,62.06,1,0, Zimbabwe,Harare,3 Jun 2010,ODI # 2986
26,68,68,95,71.57,5,0, Sri Lanka,Harare,5 Jun 2010,ODI # 2988
27,11,11,22,50.0,0,0, Bangladesh,Dambulla,16 Jun 2010,ODI # 2993
28,18,18,27,66.66,1,0, Pakistan,Dambulla,19 Jun 2010,ODI # 2996
29,10,10,14,71.42,1,0, Sri Lanka,Dambulla,22 Jun 2010,ODI # 2999
30,28,28,34,82.35,4,0, Sri Lanka,Dambulla,24 Jun 2010,ODI # 3001
31,0,0,3,0.0,0,0, Sri Lanka,Dambulla,16 Aug 2010,ODI # 3032
32,8,8,16,50.0,1,0, New Zealand,Dambulla,25 Aug 2010,ODI # 3039
33,37,37,57,64.91,5,0, Sri Lanka,Dambulla,28 Aug 2010,ODI # 3040
34,118,118,121,97.52,11,1, Australia,Visakhapatnam,20 Oct 2010,ODI # 3060
35,105,105,104,100.96,10,0, New Zealand,Guwahati,28 Nov 2010,ODI # 3070
36,64,64,73,87.67,8,0, New Zealand,Jaipur,1 Dec 2010,ODI # 3072
37,63*,63,70,90.0,6,2, New Zealand,Vadodara,4 Dec 2010,ODI # 3074
38,0,0,2,0.0,0,0, New Zealand,Bengaluru,7 Dec 2010,ODI # 3076
39,2,2,8,25.0,0,0, New Zealand,Chennai,10 Dec 2010,ODI # 3077
40,54,54,70,77.14,2,1, South Africa,Durban,12 Jan 2011,ODI # 3079
41,22,22,34,64.7,1,0, South Africa,Johannesburg,15 Jan 2011,ODI # 3080
42,28,28,41,68.29,5,0, South Africa,Cape Town,18 Jan 2011,ODI # 3082
43,87*,87,92,94.56,7,2, South Africa,Gqeberha,21 Jan 2011,ODI # 3084
44,2,2,6,33.33,0,0, South Africa,Centurion,23 Jan 2011,ODI # 3087
45,100*,100,83,120.48,8,2, Bangladesh,Mirpur,19 Feb 2011,ODI # 3100
46,8,8,5,160.0,1,0, England,Bengaluru,27 Feb 2011,ODI # 3110
47,34,34,53,64.15,3,0, Ireland,Bengaluru,6 Mar 2011,ODI # 3121
48,12,12,20,60.0,2,0, Netherlands,Delhi,9 Mar 2011,ODI # 3124
49,1,1,3,33.33,0,0, South Africa,Nagpur,12 Mar 2011,ODI # 3128
50,59,59,76,77.63,5,0, West Indies,Chennai,20 Mar 2011,ODI # 3141
51,24,24,33,72.72,1,0, Australia,Ahmedabad,24 Mar 2011,ODI # 3143
52,9,9,21,42.85,0,0, Pakistan,Mohali,30 Mar 2011,ODI # 3147
53,35,35,49,71.42,4,0, Sri Lanka,Wankhede,2 Apr 2011,ODI # 3148
54,2,2,8,25.0,0,0, West Indies,Port of Spain,6 Jun 2011,ODI # 3159
55,81,81,103,78.64,6,1, West Indies,Port of Spain,8 Jun 2011,ODI # 3160
56,0,0,1,0.0,0,0, West Indies,North Sound,11 Jun 2011,ODI # 3161
57,22,22,33,66.66,1,0, West Indies,North Sound,13 Jun 2011,ODI # 3162
58,94,94,104,90.38,10,0, West Indies,Kingston,16 Jun 2011,ODI # 3163
59,55,55,73,75.34,4,0, England,Chester-le-Street,3 Sep 2011,ODI # 3186
60,9,9,9,100.0,0,0, England,Southampton,6 Sep 2011,ODI # 3187
61,7,7,18,38.88,0,0, England,The Oval,9 Sep 2011,ODI # 3189
62,16,16,36,44.44,1,0, England,Lord's,11 Sep 2011,ODI # 3191
